sensor,agg,axis,feature_name,feature_importance
tBodyAccJerk,arCoeff(),"Z,4","tBodyAccJerk-arCoeff()-Z,4",0.0002622273121089374
tBodyAccJerk,correlation(),"X,Y","tBodyAccJerk-correlation()-X,Y",0.0010987605865767959
tBodyAccJerk,correlation(),"X,Z","tBodyAccJerk-correlation()-X,Z",0.0006935377598995342
tBodyAccJerk,correlation(),"Y,Z","tBodyAccJerk-correlation()-Y,Z",0.0005388433529474773
tBodyGyro,mean(),X,tBodyGyro-mean()-X,0.0007669427912295825
tBodyGyro,mean(),Y,tBodyGyro-mean()-Y,0.00043563874614915566
tBodyGyro,mean(),Z,tBodyGyro-mean()-Z,0.0006281396368455229
tBodyGyro,std(),X,tBodyGyro-std()-X,0.0022107855066944644
tBodyGyro,std(),Y,tBodyGyro-std()-Y,0.00048050537425942786
tBodyGyro,std(),Z,tBodyGyro-std()-Z,0.000670794187410533
tBodyGyro,mad(),X,tBodyGyro-mad()-X,0.0018358157484467772
tBodyGyro,mad(),Y,tBodyGyro-mad()-Y,0.002307452260577404
tBodyGyro,mad(),Z,tBodyGyro-mad()-Z,0.000978707029272226
tBodyGyro,max(),X,tBodyGyro-max()-X,0.002816884658119867
tBodyGyro,max(),Y,tBodyGyro-max()-Y,0.0003194275953015961
tBodyGyro,max(),Z,tBodyGyro-max()-Z,0.0004600156698929572
tBodyGyro,min(),X,tBodyGyro-min()-X,0.0016548298072143917
tBodyGyro,min(),Y,tBodyGyro-min()-Y,0.0003157662658355265
tBodyGyro,min(),Z,tBodyGyro-min()-Z,0.00034884794083225575
tBodyGyro,sma(),,tBodyGyro-sma(),0.0003433899961199666
tBodyGyro,energy(),X,tBodyGyro-energy()-X,0.0011970517230719565
tBodyGyro,energy(),Y,tBodyGyro-energy()-Y,0.0008913792129424772
tBodyGyro,energy(),Z,tBodyGyro-energy()-Z,0.0006672663331280168
tBodyGyro,iqr(),X,tBodyGyro-iqr()-X,0.0030227051813539983
tBodyGyro,iqr(),Y,tBodyGyro-iqr()-Y,0.0006140759100898972
tBodyGyro,iqr(),Z,tBodyGyro-iqr()-Z,0.0007936415560732786
tBodyGyro,entropy(),X,tBodyGyro-entropy()-X,0.0016346250900604856
tBodyGyro,entropy(),Y,tBodyGyro-entropy()-Y,0.000328619445123155
tBodyGyro,entropy(),Z,tBodyGyro-entropy()-Z,0.000336930062226808
tBodyGyro,arCoeff(),"X,1","tBodyGyro-arCoeff()-X,1",0.0005900359135564316
tBodyGyro,arCoeff(),"X,2","tBodyGyro-arCoeff()-X,2",0.00010231687471703829
tBodyGyro,arCoeff(),"X,3","tBodyGyro-arCoeff()-X,3",0.00018309055545310784
tBodyGyro,arCoeff(),"X,4","tBodyGyro-arCoeff()-X,4",0.00030518534562072326
tBodyGyro,arCoeff(),"Y,1","tBodyGyro-arCoeff()-Y,1",0.0005381119951566919
tBodyGyro,arCoeff(),"Y,2","tBodyGyro-arCoeff()-Y,2",0.0003699094150427112
tBodyGyro,arCoeff(),"Y,3","tBodyGyro-arCoeff()-Y,3",0.0002716617216477256
tBodyGyro,arCoeff(),"Y,4","tBodyGyro-arCoeff()-Y,4",0.00023144913616235122
tBodyGyro,arCoeff(),"Z,1","tBodyGyro-arCoeff()-Z,1",0.00011163021884563386
tBodyGyro,arCoeff(),"Z,2","tBodyGyro-arCoeff()-Z,2",0.00013254949845368342
tBodyGyro,arCoeff(),"Z,3","tBodyGyro-arCoeff()-Z,3",0.00025664841178127965
tBodyGyro,arCoeff(),"Z,4","tBodyGyro-arCoeff()-Z,4",0.00023329595321526785
tBodyGyro,correlation(),"X,Y","tBodyGyro-correlation()-X,Y",0.0008246280373916484
tBodyGyro,correlation(),"X,Z","tBodyGyro-correlation()-X,Z",0.0009577427448834526
tBodyGyro,correlation(),"Y,Z","tBodyGyro-correlation()-Y,Z",0.0019236122639356035
tBodyGyroJerk,mean(),X,tBodyGyroJerk-mean()-X,0.00042192839494308634
tBodyGyroJerk,mean(),Y,tBodyGyroJerk-mean()-Y,0.0001193765289214086
tBodyGyroJerk,mean(),Z,tBodyGyroJerk-mean()-Z,0.0002427828221332652
tBodyGyroJerk,std(),X,tBodyGyroJerk-std()-X,0.0013946572475472224
tBodyGyroJerk,std(),Y,tBodyGyroJerk-std()-Y,0.0005563368135942377
tBodyGyroJerk,std(),Z,tBodyGyroJerk-std()-Z,0.0004280107264399342
tBodyGyroJerk,mad(),X,tBodyGyroJerk-mad()-X,0.0021091363063404974
tBodyGyroJerk,mad(),Y,tBodyGyroJerk-mad()-Y,0.0007967835636446884
tBodyGyroJerk,mad(),Z,tBodyGyroJerk-mad()-Z,0.0042962395116104
tBodyGyroJerk,max(),X,tBodyGyroJerk-max()-X,0.0007518183394964014
tBodyGyroJerk,max(),Y,tBodyGyroJerk-max()-Y,0.0003740543627389108
tBodyGyroJerk,max(),Z,tBodyGyroJerk-max()-Z,0.0003062445231716603
tBodyGyroJerk,min(),X,tBodyGyroJerk-min()-X,0.000788081241985416
tBodyGyroJerk,min(),Y,tBodyGyroJerk-min()-Y,0.00023656111221063384
tBodyGyroJerk,min(),Z,tBodyGyroJerk-min()-Z,0.00031584927213862754
tBodyGyroJerk,sma(),,tBodyGyroJerk-sma(),0.0003921606895496119
tBodyGyroJerk,energy(),X,tBodyGyroJerk-energy()-X,0.0014451152162146073
tBodyGyroJerk,energy(),Y,tBodyGyroJerk-energy()-Y,0.00039979479096958115
tBodyGyroJerk,energy(),Z,tBodyGyroJerk-energy()-Z,0.004480108223035539
tBodyGyroJerk,iqr(),X,tBodyGyroJerk-iqr()-X,0.0016208712392007075
tBodyGyroJerk,iqr(),Y,tBodyGyroJerk-iqr()-Y,0.00027522291060498626
tBodyGyroJerk,iqr(),Z,tBodyGyroJerk-iqr()-Z,0.0024648911707747874
tBodyGyroJerk,entropy(),X,tBodyGyroJerk-entropy()-X,0.001339590105131074
tBodyGyroJerk,entropy(),Y,tBodyGyroJerk-entropy()-Y,0.0004379118305425203
tBodyGyroJerk,entropy(),Z,tBodyGyroJerk-entropy()-Z,0.0024003652424323956
tBodyGyroJerk,arCoeff(),"X,1","tBodyGyroJerk-arCoeff()-X,1",0.0008149857000534044
tBodyGyroJerk,arCoeff(),"X,2","tBodyGyroJerk-arCoeff()-X,2",0.0002594632588762729
tBodyGyroJerk,arCoeff(),"X,3","tBodyGyroJerk-arCoeff()-X,3",0.0007281201079837195
tBodyGyroJerk,arCoeff(),"X,4","tBodyGyroJerk-arCoeff()-X,4",0.00017593915518857156
tBodyGyroJerk,arCoeff(),"Y,1","tBodyGyroJerk-arCoeff()-Y,1",0.0002749379612821529
tBodyGyroJerk,arCoeff(),"Y,2","tBodyGyroJerk-arCoeff()-Y,2",0.00018726253693078068
tBodyGyroJerk,arCoeff(),"Y,3","tBodyGyroJerk-arCoeff()-Y,3",0.0002501682847713793
tBodyGyroJerk,arCoeff(),"Y,4","tBodyGyroJerk-arCoeff()-Y,4",0.00047796694034295327
tBodyGyroJerk,arCoeff(),"Z,1","tBodyGyroJerk-arCoeff()-Z,1",0.00011346019719624997
tBodyGyroJerk,arCoeff(),"Z,2","tBodyGyroJerk-arCoeff()-Z,2",0.000289332554612689
tBodyGyroJerk,arCoeff(),"Z,3","tBodyGyroJerk-arCoeff()-Z,3",0.0002504222701096405
tBodyGyroJerk,arCoeff(),"Z,4","tBodyGyroJerk-arCoeff()-Z,4",0.0005003367397902856
tBodyGyroJerk,correlation(),"X,Y","tBodyGyroJerk-correlation()-X,Y",0.0007880236348783391
tBodyGyroJerk,correlation(),"X,Z","tBodyGyroJerk-correlation()-X,Z",0.0007613080504092846
tBodyGyroJerk,correlation(),"Y,Z","tBodyGyroJerk-correlation()-Y,Z",0.0006464655166323161
tBodyAccMag,mean(),,tBodyAccMag-mean(),0.0010251593180008172
tBodyAccMag,std(),,tBodyAccMag-std(),0.004920808088174641
tBodyAccMag,mad(),,tBodyAccMag-mad(),0.004704902528469969
tBodyAccMag,max(),,tBodyAccMag-max(),0.0007360410960802143
tBodyAccMag,min(),,tBodyAccMag-min(),0.0002370975102089091
tBodyAccMag,sma(),,tBodyAccMag-sma(),0.0009621440836013333
tBodyAccMag,energy(),,tBodyAccMag-energy(),0.002509406941041259
tBodyAccMag,iqr(),,tBodyAccMag-iqr(),0.0011114642283986942
tBodyAccMag,entropy(),,tBodyAccMag-entropy(),0.00018046586418617755
tBodyAccMag,arCoeff()1,,tBodyAccMag-arCoeff()1,0.005489115039143725
tBodyAccMag,arCoeff()2,,tBodyAccMag-arCoeff()2,0.0015634209156847846
tBodyAccMag,arCoeff()3,,tBodyAccMag-arCoeff()3,0.0002570876254328783
tBodyAccMag,arCoeff()4,,tBodyAccMag-arCoeff()4,0.00019108373565729592
tGravityAccMag,mean(),,tGravityAccMag-mean(),0.00042585847118515425
tGravityAccMag,std(),,tGravityAccMag-std(),0.008039029583292688
tGravityAccMag,mad(),,tGravityAccMag-mad(),0.007104013664190029
tGravityAccMag,max(),,tGravityAccMag-max(),0.002906886140825533
tGravityAccMag,min(),,tGravityAccMag-min(),0.0002027867231274039
