사용일자,요일,노선명,역명,승하차총승객수
2019-01-02,수,2호선,신당,31169.0
2019-01-02,수,2호선,상왕십리,30657.0
2019-01-02,수,2호선,한양대,19769.0
2019-01-02,수,2호선,뚝섬,40448.0
2019-01-02,수,2호선,성수,68429.0
2019-01-02,수,2호선,건대입구,89781.0
2019-01-02,수,2호선,구의,52242.0
2019-01-02,수,2호선,강변,88184.0
2019-01-02,수,2호선,잠실나루,36448.0
2019-01-02,수,2호선,잠실,168694.0
2019-01-02,수,2호선,잠실새내,53200.0
2019-01-02,수,2호선,종합운동장,21583.0
2019-01-02,수,2호선,삼성,127799.0
2019-01-02,수,2호선,선릉,122989.0
2019-01-02,수,2호선,역삼,122755.0
2019-01-02,수,2호선,강남,233032.0
2019-01-02,수,2호선,교대,81437.0
2019-01-02,수,2호선,서초,48534.0
2019-01-02,수,2호선,방배,41083.0
2019-01-02,수,2호선,사당,88253.0
2019-01-02,수,2호선,낙성대,62173.0
2019-01-02,수,2호선,서울대입구,111086.0
2019-01-02,수,2호선,봉천,50923.0
2019-01-02,수,2호선,신림,146957.0
2019-01-02,수,2호선,신대방,58761.0
2019-01-02,수,2호선,구로디지털단지,141922.0
2019-01-02,수,7호선,대림,61548.0
2019-01-02,수,2호선,신도림,119801.0
2019-01-02,수,2호선,문래,45407.0
2019-01-02,수,2호선,영등포구청,49723.0
2019-01-02,수,2호선,당산,48018.0
2019-01-02,수,2호선,합정,69561.0
2019-01-02,수,2호선,홍대입구,159168.0
2019-01-02,수,2호선,신촌,98718.0
2019-01-02,수,2호선,이대,37406.0
2019-01-02,수,2호선,아현,21086.0
2019-01-02,수,2호선,충정로,24853.0
2019-01-02,수,2호선,용답,5447.0
2019-01-02,수,2호선,신답,3667.0
2019-01-02,수,1호선,신설동,8612.0
2019-01-02,수,2호선,도림천,2662.0
2019-01-02,수,2호선,양천구청,15052.0
2019-01-02,수,2호선,신정네거리,20719.0
2019-01-02,수,2호선,용두,4921.0
2019-01-02,수,3호선,구파발,41397.0
2019-01-02,수,3호선,연신내,85367.0
2019-01-02,수,3호선,불광,40282.0
